"Now Shopping by","Huidige filters"
"A customer group with this name already exists. Enter a different name to create a shared catalog.","Er bestaat al een klantengroep met deze naam. Voer een andere naam in om een gedeelde catalogus te maken."
"Could not save customer group.","Klantgroep kon niet worden opgeslagen."
"Could not update shared catalog customer group","Kan de klantengroep van de gedeelde catalogus niet bijwerken"
"Cannot load product items for shared catalog","Kan productitems niet laden voor gedeelde catalogus"
"Could not save ProductItem","Kan productitem niet opslaan"
"Cannot delete product with id %1","Kan product met id %1 niet verwijderen"
"Invalid value of ""%value"" provided for the %fieldName field.","Ongeldige waarde voor ""% value"" opgegeven voor het %fieldName veld."
"Cannot delete shared catalog with id %1","Kan de gedeelde catalogus met id %1 niet verwijderen"
"Assign Categories to Shared Catalog","Ken categorieën toe aan gedeelde catalogus"
"Something went wrong while scheduling operations.","Er is iets misgegaan tijdens het plannen van bewerkingen."
"Sorry, something went wrong during product prices update. Please see log for details.","Excuus, er ging iets verkeerd tijdens het bijwerken van productprijzen. Bekijk de logboeken voor meer details."
"Assign custom prices to selected products","Wijs aangepaste prijzen toe aan geselecteerde producten"
"Something went wrong while processing the request.","Er ging iets verkeerd tijdens het verwerken van het verzoek."
"Could not save shared catalog.","Kan gedeelde catalogus niet opslaan."
"You must enable category permissions for the following products: %skus.","U moet categorietoestemmingen voor de volgende producten inschakelen: %skus."
"Requested product doesn't exist: %sku.","Gevraagd product bestaat niet: %sku."
"No such shared catalog entity","Geen dergelijke gedeelde catalogusentiteit"
"You cannot convert a public catalog to a custom catalog. If you need to replace this public catalog, create a custom catalog, then change its type to public.","U kunt een openbare catalogus niet converteren naar een aangepaste catalogus. Als u deze openbare catalogus moet vervangen, maakt u een aangepaste catalogus en wijzigt u het type in openbaar."
"Requested Shared Catalog is not found","Aangevraagde gedeelde catalogus is niet gevonden"
"Catalog (id:%1) cannot be deleted because it is a public catalog. You must create a new public catalog before you can delete this catalog.","Catalogus (id:%1) kan niet worden verwijderd omdat het een openbare catalogus is. U moet een nieuwe openbare catalogus maken voordat u deze catalogus kunt verwijderen."
"Cannot create a shared catalog because some information is missing. Please make sure you provided Store Group ID, Name and Tax Class.","Kan geen gedeelde catalogus maken omdat er informatie ontbreekt. Zorg ervoor dat je winkelgroep-ID, naam en belastingklasse hebt opgegeven."
"The maximum allowed catalog name length is %1 characters.","Catalogus naam mag maximaal %1 tekens bevatten."
"A catalog named %catalogName already exists. Please select a different name.","Er bestaat al een catalogus met de naam %catalogName. Selecteer een andere naam."
"You cannot change the customer group for a shared catalog.","U kunt de klantengroep niet wijzigen voor een gedeelde catalogus."
"Please <a href=""%1"">create</a> at least a public shared catalog to proceed.","<a href=""%1"">Maak</a> op zijn minst een openbare gedeelde catalogus om door te gaan."
"A shared catalog is linked to this customer group. You must delete the shared catalog before you can delete this customer group.","Een gedeelde catalogus is gekoppeld aan deze klantengroep. U moet de gedeelde catalogus verwijderen voordat u deze klantgroep kunt verwijderen."
"Requested product doesn't exist: %1.","Gevraagd product bestaat niet: %1."
Exception,Uitzondering
"Exception Message",Foutmelding
"Set Pricing and Structure","Prijsbepaling en structuur instellen"
"Assign Companies","Bedrijven toewijzen"
"General Settings","Algemene instellingen"
"Delete ""${ $.$data.name }""","Verwijder ""${ $.$data.name }"""
"Catalog and Tier Price","Catalogus en tier prijs"
"Group or Catalog","Groep of catalogus"
"You must enable the <a href=""%1"" data-role=""notification-dialog"">shared catalog</a> feature in 
        Stores -> Configuration -> B2B Features to use the shared catalogs in the storefront.
        Otherwise, the categories and products you're configuring in shared catalogs will 
        not be restricted to customers.","U moet de functie <a href=""%1"" data-role=""notification-dialog"">gedeelde catalogus</a> inschakelen in
         Winkels -> Configuratie -> B2B-functies om de gedeelde catalogus in de winkel te gebruiken.
         Anders zijn de categorieën en producten die u in gedeelde catalogus configureert, niet beperkt tot klanten."
"You must enable the shared catalog feature in Stores -> Configuration -> B2B Features 
    to use the shared catalogs in the storefront. Otherwise, the categories and products you're 
    configuring in shared catalogs will not be restricted to customers.","U moet de gedeelde catalogusfunctie inschakelen in Winkels -> Configuratie -> B2B-functies om de gedeelde catalogus in de winkel te gebruiken. Anders zijn de categorieën en producten die u in gedeelde catalogus configureert, niet beperkt tot klanten."
"Edit Configurations","Configuraties bewerken"
"Products in Catalog","Producten in catalogus"
"Continue to configure the shared catalog structure and pricing.","Ga door met het configureren van de gedeelde catalogusstructuur en prijzen."
Store:,Winkel:
"Step 2: Set Custom Prices","Stap 2: Stel aangepaste prijzen in"
"Step 1: Select Products for Catalog","Stap 1: Selecteer producten voor de catalogus"
Fixed,Vast
"Proceed to Store Configuration?","Doorgaan naar winkel configuratie?"
"You've made changes into the shared catalog. If you leave this page now, the changes will be lost.","U hebt wijzigingen aangebracht in de gedeelde catalogus. Als u deze pagina nu verlaat, gaan de wijzigingen verloren."
"The maximum allowed catalog name length is {0} characters.","Catalogus naam mag maximaal {0} tekens bevatten."
"Conflicting row.","Conflicterende rij."
"Generate Catalog","Catalogus genereren"
products,producten
"Expand All","Alles uitklappen"
"Collapse All","Alles inklappen"
included,inbegrepen
"Shared Catalog","Gedeelde catalogus"
"Manage Shared Catalog","Beheer gedeelde catalogus"
"Enable Shared Catalog","Schakel gedeelte catalogus in"
"To select No, please <a href=""%1"">create</a> the Public Catalog first.","Om Nee te selecteren, maak <a href=""%1"">eerst</a> de Publieke Catalogus."
"Use this field to change company's shared catalog","Gebruik dit veld om de gedeelde catalogus van het bedrijf te wijzigen"
"Group/Shared Catalog","Groep/gedeelde catalogus"
"Product In Shared Catalogs","Product in gedeelde catalogus"
"Change Catalog?","Wijzig catalogus?"
"The selected companies are already using a different shared catalog. This action will change a shared catalog for selected companies. Would you like to continue?","De geselecteerde bedrijven gebruiken al een andere gedeelde catalogus. Met deze actie wordt een gedeelde catalogus voor geselecteerde bedrijven gewijzigd. wil je verder gaan?"
"The selected companies will be unlinked from the current shared catalog and linked to the default public catalog. Would you like to continue?","De geselecteerde bedrijven worden ontkoppeld van de huidige gedeelde catalogus en gekoppeld aan de standaard openbare catalogus. wil je verder gaan?"
"Assign Catalog","Wijs catalogus toe"
"Unassign Catalog","Ontkoppel catalogus"
Assigned,Toegewezen
Catalog,Catalogus
"Shared Catalog Information","Gedeelde catalogusinformatie"
"Catalog Details","Catalogus details"
"Public Catalog Already Exists","Openbare catalogus bestaat al"
"A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be assigned to the new public shared catalog.","Er bestaat al een openbare gedeelde catalogus. Als u doorgaat, wordt de bestaande openbare gedeelde catalogus geconverteerd naar een aangepaste catalogus. Alle bedrijven die zijn gedefinieerd in de bestaande openbare gedeelde catalogus, worden toegewezen aan de nieuwe openbare gedeelde catalogus."
"Change Catalog Type?","Catalogustype wijzigen?"
"A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be re-assigned to the new public shared catalog.","Er bestaat al een openbare gedeelde catalogus. Als u doorgaat, wordt de bestaande openbare gedeelde catalogus geconverteerd naar een aangepaste catalogus. Alle bedrijven die zijn gedefinieerd in de bestaande openbare gedeelde catalogus, worden opnieuw toegewezen aan de nieuwe openbare gedeelde catalogus."
"Add Shared Catalog","Gedeelde catalogus toevoegen"
"This action cannot be undone. Are you sure you want to delete this catalog(s)?","Deze actie kan niet ongedaan worden gemaakt. Weet u zeker dat u wilt verwijderen van deze catalogus?"
"Delete items","Items verwijderen"
"This discount will be applied to all selected products. The custom price type will be set to 'Discount'.","Deze korting wordt toegepast op alle geselecteerde producten. Het aangepaste prijstype wordt ingesteld op 'Korting'."
"Set Discount","Korting instellen"
"This discount will be applied to all selected products. The custom price type will be set to 'Fixed'.","Deze korting wordt toegepast op alle geselecteerde producten. Het aangepaste prijstype wordt ingesteld op 'Vast'."
"Adjust Fixed Price","Vaste prijs aanpassen"
"New Price","Nieuw prijs"
"Tax Class",BTW-tariefgroep
"Add Price","Prijs toevoegen"
"To select No, please <a href=""%s"">create</a> the Public Catalog first.","Als u Nee wilt selecteren, <a href=""%s"">maakt u eerst de openbare catalogus</a>."
"You can't send messages more than %1 times an hour.","U kunt niet meer berichten versturen dan %1 keer per uur."
"The link to a friend was sent.","De link is naar een vriend verzonden."
"We found some problems with the data.","Er waren enkele problemen met de gegevens."
"Some emails were not sent.","Sommige e-mails zijn niet verzonden."
"You've met your limit of %1 sends in an hour.","U heeft uw limiet bereikt van %1 verzendingen binnen het uur."
"Please enter a sender name.","Voer de naam van een afzender in."
"Invalid Sender Email","Ongeldig Afzender E-mailadres"
"Please enter a message.","Vul een bericht in."
"Please specify at least one recipient.","Geef ten minste één geadresseerde op."
"Please enter a correct recipient email address.","Voer een juist email adres van de geadresseerde in."
"No more than %1 emails can be sent at a time.","Er kunnen niet meer dan %1 emails worden verzonden per keer."
"Please define a correct product instance.","Definieer een juiste product instantie."
"Invalid Sender Information","Ongeldige informatie afzender"
"Please define the correct sender information.","Geef informatie over de juiste afzender."
